Node Number = 6822
Cell Number = 13370
1 8 9 1 1
2 1 2 8 2
3 8 2 10 3
4 10 2 3 4
5 10 3 11 5
6 4 11 3 6
7 12 11 4 7
8 4 5 12 8
9 13 12 5 9
10 13 5 6 10
11 6 14 13 11
12 7 14 6 12
13 14 7 15 13
14 8 16 9 14
15 17 16 8 15
16 8 10 17 16
17 19 9 18 17
18 18 9 16 18
19 17 10 20 19
20 11 20 10 20
21 21 20 11 21
22 11 12 21 22
23 21 12 22 23
24 22 12 13 24
25 13 23 22 25
26 13 14 23 26
27 23 14 24 27
28 15 24 14 28
29 25 24 15 29
30 26 25 15 30
31 18 16 27 31
32 28 27 16 32
33 28 16 17 33
34 17 29 28 34
35 17 20 29 35
36 18 30 19 36
37 31 30 18 37
38 18 27 31 38
39 32 19 30 39
40 33 29 20 40
41 33 20 21 41
42 21 34 33 42
43 22 34 21 43
44 34 22 35 44
45 35 22 23 45
46 35 23 36 46
47 23 24 36 47
48 36 24 37 48
49 25 37 24 49
50 25 38 37 50
51 25 39 38 51
52 39 25 26 52
53 39 26 40 53
54 31 27 41 54
55 42 41 27 55
56 42 27 28 56
57 43 42 28 57
58 28 29 43 58
59 29 44 43 59
60 44 29 33 60
61 30 45 32 61
62 45 30 46 62
63 46 30 31 63
64 46 31 47 64
65 47 31 41 65
66 32 45 48 66
67 49 44 33 67
68 33 34 49 68
69 34 50 49 69
70 50 34 35 70
71 50 35 51 71
72 51 35 36 72
73 36 52 51 73
74 36 37 52 74
75 52 37 53 75
76 53 37 38 76
77 54 53 38 77
78 54 38 55 78
79 39 55 38 79
80 55 39 56 80
81 40 56 39 81
82 57 56 40 82
83 41 58 47 83
84 58 41 59 84
85 41 42 59 85
86 59 42 60 86
87 60 42 43 87
88 61 60 43 88
89 43 44 61 89
90 44 62 61 90
91 62 44 49 91
92 45 63 48 92
93 45 64 63 93
94 46 64 45 94
95 65 64 46 95
96 47 65 46 96
97 47 66 65 97
98 58 66 47 98
99 49 67 62 99
100 50 67 49 100
101 67 50 68 101
102 51 68 50 102
103 51 69 68 103
104 52 69 51 104
105 69 52 70 105
106 52 53 70 106
107 53 71 70 107
108 54 71 53 108
109 54 72 71 109
110 73 72 54 110
111 55 73 54 111
112 74 73 55 112
113 74 55 56 113
114 75 74 56 114
115 56 57 75 115
116 66 58 76 116
117 58 77 76 117
118 59 77 58 118
119 59 78 77 119
120 60 78 59 120
121 60 79 78 121
122 79 60 61 122
123 80 79 61 123
124 61 62 80 124
125 62 81 80 125
126 67 81 62 126
127 82 63 64 127
128 64 83 82 128
129 83 64 65 129
130 84 83 65 130
131 84 65 66 131
132 66 85 84 132
133 76 85 66 133
134 81 67 86 134
135 86 67 68 135
136 68 87 86 136
137 87 68 69 137
138 69 88 87 138
139 70 88 69 139
140 89 88 70 140
141 70 71 89 141
142 90 89 71 142
143 90 71 72 143
144 72 91 90 144
145 72 92 91 145
146 73 92 72 146
147 93 92 73 147
148 73 74 93 148
149 93 74 94 149
150 94 74 75 150
151 76 95 85 151
152 96 95 76 152
153 76 77 96 153
154 77 97 96 154
155 97 77 78 155
156 98 97 78 156
157 78 79 98 157
158 98 79 99 158
159 80 99 79 159
160 100 99 80 160
161 80 81 100 161
162 100 81 101 162
163 86 101 81 163
164 82 83 102 164
165 102 83 103 165
166 83 84 103 166
167 103 84 104 167
168 84 85 104 168
169 104 85 105 169
170 85 95 105 170
171 106 101 86 171
172 86 87 106 172
173 107 106 87 173
174 87 88 107 174
175 108 107 88 175
176 88 89 108 176
177 89 109 108 177
178 89 90 109 178
179 110 109 90 179
180 110 90 91 180
181 91 111 110 181
182 111 91 112 182
183 91 92 112 183
184 112 92 113 184
185 113 92 93 185
186 93 114 113 186
187 94 114 93 187
188 105 95 115 188
189 115 95 116 189
190 116 95 96 190
191 116 96 117 191
192 117 96 97 192
193 117 97 118 193
194 118 97 98 194
195 98 119 118 195
196 99 119 98 196
197 99 120 119 197
198 100 120 99 198
199 121 120 100 199
200 100 101 121 200
201 121 101 122 201
202 101 106 122 202
203 123 102 103 203
204 103 124 123 204
205 104 124 103 205
206 104 125 124 206
207 105 125 104 207
208 126 125 105 208
209 105 115 126 209
210 127 122 106 210
211 106 107 127 211
212 127 107 128 212
213 128 107 108 213
214 108 129 128 214
215 109 129 108 215
216 130 129 109 216
217 109 110 130 217
218 130 110 131 218
219 110 111 131 219
220 132 131 111 220
221 133 132 111 221
222 112 133 111 222
223 134 133 112 223
224 113 134 112 224
225 135 134 113 225
226 114 135 113 226
227 136 126 115 227
228 115 137 136 228
229 137 115 116 229
230 138 137 116 230
231 117 138 116 231
232 139 138 117 232
233 118 139 117 233
234 118 140 139 234
235 119 140 118 235
236 141 140 119 236
237 119 120 141 237
238 141 120 142 238
239 142 120 121 239
240 121 143 142 240
241 121 122 143 241
242 143 122 144 242
243 144 122 127 243
244 123 124 145 244
245 146 145 124 245
246 146 124 125 246
247 125 147 146 247
248 147 125 126 248
249 148 147 126 249
250 148 126 136 250
251 127 149 144 251
252 128 149 127 252
253 150 149 128 253
254 129 150 128 254
255 150 129 151 255
256 130 151 129 256
257 152 151 130 257
258 131 152 130 258
259 152 131 153 259
260 131 132 153 260
261 153 132 154 261
262 155 154 132 262
263 155 132 133 263
264 133 156 155 264
265 133 134 156 265
266 156 134 157 266
267 134 135 157 267
268 136 158 148 268
269 136 159 158 269
270 137 159 136 270
271 160 159 137 271
272 137 138 160 272
273 161 160 138 273
274 161 138 139 274
275 139 162 161 275
276 162 139 140 276
277 163 162 140 277
278 163 140 141 278
279 141 164 163 279
280 142 164 141 280
281 142 165 164 281
282 142 143 165 282
283 165 143 166 283
284 166 143 144 284
285 167 166 144 285
286 144 149 167 286
287 168 145 146 287
288 169 168 146 288
289 146 147 169 289
290 170 169 147 290
291 170 147 148 291
292 148 171 170 292
293 148 158 171 293
294 167 149 172 294
295 172 149 150 295
296 150 173 172 296
297 173 150 151 297
298 174 173 151 298
299 151 152 174 299
300 152 175 174 300
301 153 175 152 301
302 176 175 153 302
303 154 176 153 303
304 177 176 154 304
305 178 177 154 305
306 178 154 155 306
307 155 179 178 307
308 155 156 179 308
309 180 179 156 309
310 157 180 156 310
311 181 171 158 311
312 182 181 158 312
313 158 159 182 313
314 182 159 183 314
315 183 159 160 315
316 160 184 183 316
317 184 160 161 317
318 185 184 161 318
319 161 162 185 319
320 162 186 185 320
321 186 162 163 321
322 163 187 186 322
323 164 187 163 323
324 187 164 188 324
325 188 164 165 325
326 165 189 188 326
327 189 165 166 327
328 166 190 189 328
329 190 166 167 329
330 167 191 190 330
331 172 191 167 331
332 168 169 192 332
333 192 169 170 333
334 193 192 170 334
335 170 171 193 335
336 193 171 194 336
337 171 181 194 337
338 191 172 195 338
339 195 172 173 339
340 195 173 196 340
341 196 173 174 341
342 197 196 174 342
343 174 175 197 343
344 197 175 198 344
345 198 175 176 345
346 198 176 199 346
347 199 176 177 347
348 177 200 199 348
349 201 200 177 349
350 201 177 178 350
351 178 202 201 351
352 178 179 202 352
353 180 202 179 353
354 203 194 181 354
355 181 204 203 355
356 182 204 181 356
357 205 204 182 357
358 183 205 182 358
359 183 206 205 359
360 183 184 206 360
361 207 206 184 361
362 207 184 185 362
363 185 208 207 363
364 185 186 208 364
365 209 208 186 365
366 186 187 209 366
367 210 209 187 367
368 210 187 188 368
369 210 188 211 369
370 211 188 189 370
371 189 212 211 371
372 212 189 190 372
373 213 212 190 373
374 213 190 191 374
375 191 214 213 375
376 195 214 191 376
377 192 193 215 377
378 193 194 215 378
379 194 216 215 379
380 203 216 194 380
381 217 214 195 381
382 196 217 195 382
383 217 196 218 383
384 196 197 218 384
385 218 197 219 385
386 198 219 197 386
387 220 219 198 387
388 199 220 198 388
389 221 220 199 389
390 199 200 221 390
391 221 200 222 391
392 200 223 222 392
393 201 223 200 393
394 202 223 201 394
395 224 216 203 395
396 225 224 203 396
397 203 204 225 397
398 225 204 226 398
399 226 204 205 399
400 227 226 205 400
401 227 205 206 401
402 206 228 227 402
403 206 207 228 403
404 228 207 229 404
405 207 208 229 405
406 230 229 208 406
407 230 208 209 407
408 209 231 230 408
409 231 209 210 409
410 210 232 231 410
411 211 232 210 411
412 211 233 232 412
413 211 212 233 413
414 233 212 234 414
415 213 234 212 415
416 235 234 213 416
417 213 214 235 417
418 214 236 235 418
419 214 217 236 419
420 215 216 237 420
421 237 216 238 421
422 238 216 224 422
423 239 236 217 423
424 218 239 217 424
425 240 239 218 425
426 218 219 240 426
427 219 241 240 427
428 241 219 220 428
429 220 242 241 429
430 220 221 242 430
431 243 242 221 431
432 243 221 222 432
433 222 244 243 433
434 245 244 222 434
435 222 223 245 435
436 224 246 238 436
437 246 224 247 437
438 225 247 224 438
439 248 247 225 439
440 225 226 248 440
441 249 248 226 441
442 227 249 226 442
443 250 249 227 443
444 227 228 250 444
445 250 228 251 445
446 251 228 229 446
447 229 252 251 447
448 252 229 230 448
449 230 253 252 449
