Node Number = 3762
Cell Number = 7280
1 583 612 555 1
2 640 612 583 2
3 436 379 407 3
4 408 436 465 4
5 379 436 408 5
6 611 640 583 6
7 3602 3574 3545 7
8 356 299 327 8
9 379 408 351 9
10 669 640 697 10
11 612 640 669 11
12 584 527 555 12
13 584 555 612 13
14 1840 1811 1868 14
15 1868 1811 1839 15
16 1 29 58 16
17 58 30 1 17
18 838 810 781 18
19 3458 3401 3429 19
20 1482 1425 1453 20
21 331 302 359 21
22 49 20 77 22
23 1602 1659 1631 23
24 3654 3597 3625 24
25 3406 3378 3349 25
26 3463 3406 3434 26
27 3748 3691 3719 27
28 3541 3598 3570 28
29 3656 3599 3627 29
30 3627 3599 3570 30
31 3655 3684 3627 31
32 3627 3684 3656 32
33 3570 3598 3627 33
34 3627 3598 3655 34
35 3655 3598 3626 35
36 3626 3597 3654 36
37 3712 3684 3655 37
38 3741 3684 3712 38
39 3629 3572 3600 39
40 3601 3572 3629 40
41 2993 3050 3022 41
42 2936 2993 2965 42
43 2965 2993 3022 43
44 3281 3224 3252 44
45 3053 3025 2996 45
46 3082 3025 3053 46
47 3193 3164 3221 47
48 3250 3221 3278 48
49 3193 3221 3250 49
50 3337 3308 3365 50
51 3022 3050 3079 51
52 3702 3759 3731 52
53 3128 3099 3156 53
54 3669 3612 3640 54
55 3476 3505 3448 55
56 3533 3505 3476 56
57 23 80 52 57
58 15 72 44 58
59 100 72 43 59
60 43 72 15 60
61 212 241 184 61
62 182 239 211 62
63 154 182 211 63
64 184 241 213 64
65 213 156 184 65
66 100 43 71 66
67 71 43 14 67
68 500 472 443 68
69 529 472 500 69
70 386 414 443 70
71 357 414 386 71
72 100 157 129 72
73 129 72 100 73
74 357 300 328 74
75 299 356 328 75
76 197 254 226 76
77 51 80 23 77
78 51 108 80 78
79 354 325 382 79
80 181 153 124 80
81 379 351 322 81
82 323 351 380 82
83 380 351 408 83
84 551 608 580 84
85 554 611 583 85
86 555 527 498 86
87 384 356 327 87
88 726 669 697 88
89 86 58 29 89
90 59 2 30 90
91 977 1006 949 91
92 809 838 781 92
93 1404 1433 1376 93
94 1720 1748 1777 94
95 1124 1152 1181 95
96 1181 1152 1209 96
97 949 1006 978 97
98 951 1008 980 98
99 979 1008 951 99
100 1121 1150 1093 100
101 2166 2137 2194 101
102 2194 2137 2165 102
103 2619 2562 2590 103
104 2903 2931 2960 104
105 2704 2675 2732 105
106 2732 2675 2703 106
107 2704 2732 2761 107
108 3049 3106 3078 108
109 3077 3106 3049 109
110 2582 2525 2553 110
111 2582 2610 2639 111
112 2553 2610 2582 112
113 3140 3168 3197 113
114 3197 3168 3225 114
115 3573 3602 3545 115
116 3545 3516 3573 116
117 3570 3599 3542 117
118 3542 3571 3514 118
119 3599 3571 3542 119
120 3514 3485 3542 120
121 3430 3401 3458 121
122 3459 3402 3430 122
123 2199 2170 2227 123
124 245 216 273 124
125 273 302 245 125
126 302 331 274 126
127 217 245 274 127
128 274 245 302 128
129 75 18 46 129
130 1834 1806 1777 130
131 2212 2183 2240 131
132 2240 2183 2211 132
133 1296 1324 1353 133
134 1911 1968 1940 134
135 1772 1829 1801 135
136 1801 1829 1858 136
137 2027 1998 2055 137
138 1574 1603 1546 138
139 1631 1603 1574 139
140 1574 1602 1631 140
141 2737 2680 2708 141
142 2936 2965 2908 142
143 2453 2396 2424 143
144 2368 2397 2340 144
145 3568 3625 3597 145
146 3634 3691 3663 146
147 3519 3576 3548 147
148 3548 3576 3605 148
149 3722 3751 3694 149
150 3581 3524 3552 150
151 3694 3751 3723 151
152 3723 3666 3694 152
153 3350 3378 3407 153
154 3407 3379 3350 154
155 3575 3518 3546 155
156 3634 3605 3662 156
157 3662 3691 3634 157
158 3662 3719 3691 158
159 3632 3604 3575 159
160 3661 3604 3632 160
161 3574 3602 3631 161
162 3631 3602 3659 162
163 3683 3711 3740 163
164 3655 3626 3683 164
165 3683 3626 3654 165
166 3654 3711 3683 166
167 3683 3712 3655 167
168 3740 3712 3683 168
169 3543 3571 3600 169
170 3600 3572 3543 170
171 3514 3571 3543 171
172 3572 3515 3543 172
173 3657 3629 3600 173
174 3713 3684 3741 174
175 3656 3684 3713 175
176 3687 3716 3659 176
177 3649 3620 3677 177
178 3452 3423 3480 178
179 3565 3593 3622 179
180 3622 3593 3650 180
181 2827 2855 2884 181
182 3051 3079 3108 182
183 3022 3079 3051 183
184 3108 3080 3051 184
185 2997 2969 2940 185
186 3052 3080 3109 186
187 3308 3337 3280 187
188 3107 3079 3050 188
189 3534 3505 3562 189
190 3562 3505 3533 190
191 3646 3618 3589 191
192 3701 3673 3644 192
193 3641 3612 3669 193
194 3641 3613 3584 194
195 3584 3612 3641 195
196 3669 3698 3641 196
197 3726 3698 3669 197
198 3755 3698 3726 198
199 3187 3244 3216 199
200 3073 3101 3130 200
201 3212 3184 3155 201
202 3155 3183 3212 202
203 2901 2930 2873 203
204 2845 2817 2788 204
205 2958 2987 2930 205
206 2958 2930 2901 206
207 2812 2784 2755 207
208 2755 2784 2727 208
209 3668 3640 3611 209
210 3611 3639 3668 210
211 3667 3639 3610 211
212 3644 3587 3615 212
213 3448 3420 3391 213
214 3477 3420 3448 214
215 3477 3505 3534 215
216 3448 3505 3477 216
217 3533 3476 3504 217
218 3163 3192 3135 218
219 3078 3106 3135 219
220 3135 3106 3163 220
221 3134 3106 3077 221
222 3163 3106 3134 222
223 3220 3192 3163 223
224 3216 3244 3273 224
225 3302 3245 3273 225
226 3273 3245 3216 226
227 3018 2961 2989 227
228 3274 3245 3302 228
229 3217 3245 3274 229
230 48 77 20 230
231 226 254 283 231
232 283 255 226 232
233 73 45 16 233
234 16 44 73 234
235 297 325 354 235
236 184 156 127 236
237 70 98 127 237
238 41 98 70 238
239 70 13 41 239
240 181 238 210 240
241 210 153 181 241
242 210 182 153 242
243 239 182 210 243
244 183 154 211 244
245 126 154 183 245
246 270 299 242 246
247 327 299 270 247
248 241 298 270 248
249 270 298 327 249
250 242 213 270 250
251 270 213 241 251
252 42 13 70 252
253 42 71 14 253
254 128 157 100 254
255 100 71 128 255
256 471 442 499 256
257 471 414 442 257
258 443 414 471 258
259 471 500 443 259
260 215 187 158 260
261 158 187 130 261
262 216 187 244 262
263 273 216 244 263
264 244 301 273 264
265 244 187 215 265
266 215 272 244 266
267 244 272 301 267
268 329 300 357 268
269 357 386 329 269
270 301 272 329 270
271 329 272 300 271
272 300 272 243 272
273 243 272 215 273
274 442 414 385 274
275 385 414 357 275
276 357 328 385 276
277 385 328 356 277
278 168 111 139 278
279 340 397 369 279
280 454 511 483 280
281 49 77 106 281
282 454 397 425 282
283 225 197 168 283
284 254 197 225 284
285 225 282 254 285
286 969 997 1026 286
287 883 855 826 287
288 826 855 798 288
289 741 769 798 289
290 798 769 826 290
291 513 541 570 291
292 569 541 512 292
293 766 795 738 293
294 738 795 767 294
295 796 825 768 295
296 10 67 39 296
297 97 154 126 297
298 38 67 10 298
299 33 4 61 299
300 61 4 32 300
301 209 238 181 301
302 294 351 323 302
303 294 322 351 303
304 437 408 465 304
305 465 494 437 305
306 409 380 437 306
307 437 380 408 307
308 640 611 668 308
309 697 640 668 309
310 668 639 696 310
